,ID,PAYMENT_TERM,INSTALLMENT_PLANS,INSTALLMENT_PERCENT,LOAN_PURPOSE,LOAN_AMOUNT,OTHERS_ON_LOAN,ALLOW,SEX,AGE,JOB_TYPE,DEPENDENTS,TELEPHONE,FOREIGN_WORKER,EMPLOYMENT_DURATION,PROPERTY,HOUSING,CURRENT_RESIDENCE_DURATION,CHECKING_BALANCE,CREDIT_HISTORY,EXISTING_SAVINGS,EXISTING_CREDITS_COUNT
20,1147335,341.0,STORES,1.0,CAR_NEW,250.0,NONE,1,F,42.0,3.0,1.0,0.0,1.0,4.0,SAVINGS_INSURANCE,OWN,1.0,-1912.78,ALL_CREDITS_PAID_BACK,0.15,1.0
21,671455,620.0,STORES,3.0,RADIO_TV,4561.0,NONE,1,F,31.0,3.0,1.0,0.0,1.0,6.0,CAR_OTHER,OWN,2.0,NO_CHECKING,CREDITS_PAID_TO_DATE,645.52,1.0
22,391955,930.0,NONE,4.0,FURNITURE,795.0,NONE,1,M,27.0,3.0,1.0,1.0,1.0,9.0,SAVINGS_INSURANCE,OWN,4.0,98.16,CREDITS_PAID_TO_DATE,319.42,2.0
23,1049084,1410.0,NONE,3.0,RADIO_TV,3691.0,CO-APPLICANT,0,M,38.0,,1.0,1.0,1.0,5.0,CAR_OTHER,OWN,4.0,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
24,118987,589.0,NONE,4.0,RADIO_TV,4459.0,NONE,1,F,36.0,3.0,1.0,0.0,1.0,6.0,REAL_ESTATE,OWN,3.0,NO_CHECKING,CREDITS_PAID_TO_DATE,303.64,1.0
25,86177,570.0,NONE,2.0,RETRAINING,3944.0,NONE,1,F,43.0,3.0,1.0,0.0,1.0,2.0,CAR_OTHER,OWN,2.0,42.83,PRIOR_PAYMENTS_DELAYED,227.4,2.0
26,1177670,992.0,BANK,4.0,FURNITURE,3184.0,NONE,1,M,37.0,0.0,2.0,1.0,1.0,11.0,CAR_OTHER,OWN,4.0,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
27,635499,1050.0,NONE,3.0,REPAIRS,5981.0,NONE,0,M,42.0,2.0,1.0,1.0,1.0,3.0,CAR_OTHER,OWN,4.0,NO_CHECKING,OUTSTANDING_CREDIT,1221.11,1.0
28,1026060,682.0,STORES,2.0,CAR_USED,988.0,NONE,1,M,31.0,3.0,1.0,0.0,1.0,1.0,SAVINGS_INSURANCE,RENT,2.0,127.12,CREDITS_PAID_TO_DATE,55.06,1.0
29,353829,403.0,NONE,3.0,CAR_NEW,3380.0,NONE,0,F,36.0,3.0,1.0,0.0,1.0,4.0,SAVINGS_INSURANCE,OWN,1.0,132.39,CREDITS_PAID_TO_DATE,87.16,2.0
30,1282423,465.0,NONE,2.0,CAR_NEW,1380.0,NONE,1,F,24.0,3.0,1.0,0.0,1.0,0.0,REAL_ESTATE,RENT,2.0,144.14,ALL_CREDITS_PAID_BACK,100.44,1.0
31,584707,930.0,NONE,4.0,FURNITURE,5025.0,NONE,1,M,45.0,2.0,2.0,1.0,1.0,9.0,SAVINGS_INSURANCE,OWN,5.0,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
32,100984,806.0,NONE,4.0,CAR_USED,5728.0,NONE,1,M,46.0,3.0,,1.0,1.0,7.0,CAR_OTHER,FREE,5.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,3.0
33,1135123,775.0,NONE,4.0,CAR_USED,5742.0,NONE,0,F,42.0,3.0,1.0,0.0,0.0,7.0,UNKNOWN,OWN,2.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,420.85,2.0
34,1205053,744.0,NONE,2.0,FURNITURE,1512.0,NONE,1,M,37.0,3.0,1.0,1.0,1.0,2.0,CAR_OTHER,OWN,2.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,600.14,
35,54149,775.0,NONE,4.0,FURNITURE,5371.0,NONE,0,M,45.0,3.0,2.0,1.0,1.0,10.0,UNKNOWN,FREE,4.0,NO_CHECKING,OUTSTANDING_CREDIT,606.04,2.0
36,29700,1110.0,STORES,5.0,RADIO_TV,10550.0,CO-APPLICANT,0,M,48.0,0.0,2.0,1.0,1.0,9.0,UNKNOWN,OWN,4.0,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
37,927757,341.0,STORES,2.0,CAR_NEW,786.0,NONE,1,F,19.0,1.0,1.0,0.0,1.0,0.0,,RENT,2.0,144.56,CREDITS_PAID_TO_DATE,12.82,1.0
38,245917,248.0,NONE,3.0,CAR_NEW,1233.0,NONE,1,M,24.0,3.0,1.0,1.0,1.0,3.0,SAVINGS_INSURANCE,OWN,3.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,1788.77,
39,320319,527.0,NONE,2.0,CAR_USED,4490.0,NONE,1,F,32.0,3.0,1.0,0.0,1.0,3.0,SAVINGS_INSURANCE,FREE,2.0,1.82,CREDITS_PAID_TO_DATE,38.59,1.0
40,183535,124.0,NONE,2.0,CAR_NEW,2969.0,NONE,1,M,26.0,2.0,1.0,0.0,1.0,0.0,REAL_ESTATE,OWN,1.0,-1305.58,ALL_CREDITS_PAID_BACK,61.43,1.0
41,55574,570.0,NONE,3.0,RETRAINING,5368.0,NONE,1,F,42.0,3.0,2.0,0.0,1.0,5.0,UNKNOWN,OWN,1.0,87.96,CREDITS_PAID_TO_DATE,35.05,1.0
42,709259,1290.0,NONE,5.0,OTHER,6949.0,CO-APPLICANT,0,M,57.0,2.0,2.0,1.0,1.0,11.0,CAR_OTHER,FREE,4.0,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,3.0
43,470599,124.0,NONE,2.0,CAR_NEW,250.0,NONE,1,M,29.0,3.0,1.0,0.0,1.0,0.0,REAL_ESTATE,RENT,2.0,-18.62,ALL_CREDITS_PAID_BACK,99.72,1.0
44,1153172,120.0,STORES,1.0,FURNITURE,250.0,NONE,1,M,31.0,3.0,1.0,1.0,1.0,7.0,CAR_OTHER,OWN,3.0,-249.27,PRIOR_PAYMENTS_DELAYED,566.48,1.0
45,853181,570.0,STORES,3.0,CAR_NEW,4434.0,GUARANTOR,0,F,43.0,1.0,1.0,1.0,1.0,7.0,CAR_OTHER,FREE,2.0,0,PRIOR_PAYMENTS_DELAYED,379.06,1.0
46,360894,240.0,NONE,2.0,CAR_NEW,5082.0,NONE,1,F,19.0,2.0,1.0,0.0,1.0,0.0,REAL_ESTATE,OWN,3.0,149.75,ALL_CREDITS_PAID_BACK,6.23,1.0
47,487813,372.0,NONE,3.0,REPAIRS,1439.0,NONE,1,M,46.0,3.0,1.0,1.0,1.0,2.0,CAR_OTHER,OWN,3.0,-358.19,PRIOR_PAYMENTS_DELAYED,79.71,1.0
48,670687,279.0,NONE,2.0,CAR_NEW,872.0,NONE,1,F,41.0,3.0,1.0,0.0,1.0,1.0,SAVINGS_INSURANCE,OWN,3.0,-69.06,PRIOR_PAYMENTS_DELAYED,57.63,1.0
49,789773,1426.0,NONE,4.0,REPAIRS,6433.0,GUARANTOR,0,M,52.0,3.0,1.0,1.0,1.0,12.0,CAR_OTHER,FREE,5.0,NO_CHECKING,OUTSTANDING_CREDIT,967.64,2.0
50,560437,1050.0,NONE,4.0,APPLIANCES,5520.0,NONE,1,M,43.0,3.0,2.0,1.0,1.0,5.0,CAR_OTHER,OWN,4.0,NO_CHECKING,OUTSTANDING_CREDIT,593.43,2.0
51,1221833,720.0,NONE,3.0,CAR_NEW,949.0,NONE,1,M,33.0,3.0,1.0,0.0,1.0,0.0,REAL_ESTATE,RENT,3.0,NO_CHECKING,CREDITS_PAID_TO_DATE,306.08,1.0
52,56023,124.0,NONE,1.0,CAR_NEW,250.0,NONE,1,M,19.0,3.0,1.0,0.0,1.0,0.0,REAL_ESTATE,RENT,2.0,-123.52,NO_CREDITS,75.57,1.0
53,768611,1050.0,NONE,4.0,BUSINESS,4231.0,NONE,0,F,29.0,3.0,1.0,0.0,1.0,2.0,SAVINGS_INSURANCE,OWN,2.0,1227.33,ALL_CREDITS_PAID_BACK,549.46,1.0
54,507362,496.0,NONE,1.0,CAR_NEW,742.0,NONE,1,M,29.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,OWN,3.0,103.7,CREDITS_PAID_TO_DATE,9.51,1.0
55,122621,1054.0,NONE,5.0,REPAIRS,6863.0,CO-APPLICANT,0,M,49.0,3.0,2.0,1.0,1.0,9.0,UNKNOWN,OWN,4.0,NO_CHECKING,OUTSTANDING_CREDIT,UNKNOWN,2.0
56,766518,899.0,NONE,3.0,FURNITURE,2440.0,NONE,0,M,39.0,3.0,1.0,1.0,1.0,6.0,SAVINGS_INSURANCE,OWN,3.0,-121.65,CREDITS_PAID_TO_DATE,33.8,1.0
57,768904,600.0,STORES,3.0,CAR_NEW,250.0,NONE,0,F,20.0,3.0,1.0,0.0,1.0,6.0,SAVINGS_INSURANCE,RENT,3.0,69.95,CREDITS_PAID_TO_DATE,5943.03,1.0
58,568874,248.0,STORES,1.0,CAR_NEW,429.0,NONE,1,F,31.0,1.0,1.0,0.0,1.0,0.0,REAL_ESTATE,RENT,3.0,NO_CHECKING,ALL_CREDITS_PAID_BACK,74.87,1.0
59,135276,840.0,NONE,4.0,APPLIANCES,7333.0,NONE,0,F,54.0,2.0,2.0,1.0,1.0,1.0,UNKNOWN,OWN,4.0,NO_CHECKING,OUTSTANDING_CREDIT,17005.6,2.0
60,407901,360.0,NONE,3.0,CAR_USED,2794.0,NONE,1,M,37.0,2.0,2.0,1.0,1.0,4.0,SAVINGS_INSURANCE,OWN,3.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,9884.9,2.0
61,314905,961.0,NONE,4.0,APPLIANCES,6610.0,NONE,1,F,48.0,3.0,1.0,0.0,1.0,3.0,SAVINGS_INSURANCE,OWN,3.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,360.72,2.0
62,472718,270.0,BANK,2.0,CAR_NEW,1704.0,NONE,1,F,23.0,1.0,1.0,0.0,1.0,0.0,REAL_ESTATE,RENT,1.0,-671.25,ALL_CREDITS_PAID_BACK,28.72,1.0
63,373568,775.0,NONE,3.0,APPLIANCES,6890.0,,1,M,37.0,2.0,1.0,0.0,1.0,2.0,UNKNOWN,OWN,4.0,NO_CHECKING,OUTSTANDING_CREDIT,725.48,1.0
64,1289267,570.0,NONE,4.0,BUSINESS,8785.0,NONE,0,M,53.0,2.0,1.0,1.0,1.0,8.0,UNKNOWN,FREE,4.0,NO_CHECKING,OUTSTANDING_CREDIT,224.92,2.0
65,570649,744.0,NONE,4.0,FURNITURE,4416.0,NONE,1,M,47.0,3.0,1.0,0.0,1.0,6.0,,OWN,3.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,2.0
66,462527,600.0,NONE,3.0,FURNITURE,3315.0,NONE,1,F,35.0,3.0,1.0,1.0,1.0,0.0,UNKNOWN,OWN,2.0,-1889.02,PRIOR_PAYMENTS_DELAYED,1.99,1.0
67,1048493,310.0,NONE,1.0,VACATION,2649.0,NONE,1,F,24.0,3.0,1.0,0.0,1.0,0.0,CAR_OTHER,OWN,2.0,-136.6,ALL_CREDITS_PAID_BACK,87.51,1.0
68,158494,124.0,BANK,1.0,CAR_NEW,250.0,CO-APPLICANT,1,M,35.0,0.0,1.0,0.0,1.0,0.0,REAL_ESTATE,RENT,3.0,0,ALL_CREDITS_PAID_BACK,32.16,1.0
69,912275,124.0,NONE,1.0,CAR_NEW,250.0,NONE,1,F,19.0,3.0,1.0,0.0,1.0,1.0,REAL_ESTATE,RENT,2.0,130.93,NO_CREDITS,3.74,1.0
70,992521,930.0,BANK,2.0,RADIO_TV,250.0,NONE,1,F,19.0,0.0,1.0,1.0,1.0,0.0,SAVINGS_INSURANCE,RENT,1.0,-288.32,CREDITS_PAID_TO_DATE,91.73,1.0
71,1165983,240.0,NONE,2.0,CAR_NEW,1821.0,NONE,1,M,38.0,3.0,1.0,1.0,1.0,0.0,CAR_OTHER,OWN,3.0,-124.4,PRIOR_PAYMENTS_DELAYED,5.18,2.0
72,1141844,806.0,STORES,2.0,APPLIANCES,1751.0,NONE,0,M,28.0,3.0,1.0,0.0,1.0,2.0,SAVINGS_INSURANCE,OWN,3.0,-130.5,OUTSTANDING_CREDIT,277.48,1.0
73,227973,450.0,NONE,3.0,CAR_NEW,1530.0,NONE,1,M,26.0,3.0,1.0,0.0,1.0,2.0,REAL_ESTATE,OWN,4.0,NO_CHECKING,CREDITS_PAID_TO_DATE,117.29,1.0
74,214780,120.0,BANK,2.0,CAR_USED,250.0,NONE,1,F,48.0,1.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,RENT,2.0,185.52,PRIOR_PAYMENTS_DELAYED,30.68,1.0
75,887796,868.0,NONE,4.0,REPAIRS,5263.0,NONE,0,F,46.0,2.0,1.0,0.0,1.0,8.0,SAVINGS_INSURANCE,OWN,5.0,NO_CHECKING,OUTSTANDING_CREDIT,665.47,1.0
76,796849,310.0,BANK,3.0,CAR_NEW,1300.0,NONE,1,F,42.0,1.0,1.0,0.0,1.0,4.0,REAL_ESTATE,RENT,2.0,-120.17,ALL_CREDITS_PAID_BACK,79.3,1.0
77,725323,1110.0,NONE,5.0,APPLIANCES,5060.0,NONE,1,M,44.0,3.0,1.0,0.0,1.0,10.0,CAR_OTHER,OWN,5.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,662.76,2.0
78,458752,930.0,STORES,4.0,APPLIANCES,5822.0,NONE,1,M,39.0,1.0,2.0,1.0,1.0,0.0,SAVINGS_INSURANCE,OWN,3.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,387.34,2.0
79,610808,899.0,NONE,5.0,APPLIANCES,6758.0,CO-APPLICANT,0,M,50.0,3.0,2.0,1.0,1.0,8.0,UNKNOWN,FREE,3.0,NO_CHECKING,OUTSTANDING_CREDIT,12205.01,3.0
80,845739,660.0,NONE,4.0,CAR_USED,7618.0,NONE,1,M,34.0,2.0,1.0,1.0,0.0,1.0,CAR_OTHER,OWN,4.0,9.7,OUTSTANDING_CREDIT,2035.45,2.0
81,1143543,1110.0,NONE,5.0,OTHER,6404.0,GUARANTOR,0,M,58.0,3.0,1.0,1.0,1.0,10.0,CAR_OTHER,OWN,5.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,,1.0
82,542951,1302.0,STORES,5.0,OTHER,6421.0,NONE,1,M,36.0,1.0,1.0,1.0,1.0,6.0,SAVINGS_INSURANCE,OWN,3.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,671.14,1.0
83,512748,990.0,NONE,3.0,BUSINESS,5204.0,NONE,1,F,53.0,3.0,1.0,0.0,1.0,1.0,SAVINGS_INSURANCE,OWN,3.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,651.71,1.0
84,335831,450.0,NONE,2.0,CAR_USED,3626.0,NONE,1,M,22.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,OWN,1.0,92.84,NO_CREDITS,15.15,1.0
85,1285384,744.0,NONE,3.0,RADIO_TV,4842.0,NONE,0,F,46.0,3.0,1.0,0.0,1.0,11.0,UNKNOWN,OWN,3.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,10913.37,2.0
86,148329,360.0,NONE,2.0,CAR_NEW,844.0,NONE,1,M,20.0,3.0,1.0,0.0,1.0,0.0,REAL_ESTATE,OWN,2.0,-110.57,ALL_CREDITS_PAID_BACK,36.11,1.0
87,1285402,120.0,STORES,3.0,CAR_USED,2802.0,NONE,1,F,29.0,1.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,OWN,3.0,8.01,PRIOR_PAYMENTS_DELAYED,23.31,2.0
88,903353,1116.0,STORES,4.0,BUSINESS,4245.0,NONE,1,M,25.0,1.0,1.0,0.0,1.0,1.0,CAR_OTHER,OWN,2.0,NO_CHECKING,CREDITS_PAID_TO_DATE,327.42,1.0
89,894304,589.0,NONE,3.0,CAR_USED,2660.0,NONE,0,F,34.0,3.0,1.0,0.0,1.0,6.0,SAVINGS_INSURANCE,OWN,3.0,139.06,CREDITS_PAID_TO_DATE,565.68,1.0
90,783338,630.0,NONE,2.0,FURNITURE,2749.0,NONE,1,F,22.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,OWN,3.0,-704.85,CREDITS_PAID_TO_DATE,20.86,1.0
91,1035574,1260.0,NONE,5.0,APPLIANCES,5313.0,CO-APPLICANT,0,M,47.0,3.0,1.0,1.0,1.0,9.0,SAVINGS_INSURANCE,FREE,4.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,788.7,2.0
92,542438,990.0,NONE,3.0,REPAIRS,6036.0,NONE,1,M,48.0,3.0,1.0,1.0,1.0,7.0,CAR_OTHER,OWN,2.0,NO_CHECKING,OUTSTANDING_CREDIT,25037.88,2.0
93,1281941,360.0,NONE,4.0,RETRAINING,1498.0,NONE,1,F,40.0,3.0,1.0,0.0,1.0,11.0,SAVINGS_INSURANCE,OWN,2.0,0,PRIOR_PAYMENTS_DELAYED,18746.84,1.0
94,940103,420.0,STORES,3.0,CAR_NEW,1809.0,CO-APPLICANT,1,M,37.0,,1.0,1.0,1.0,0.0,SAVINGS_INSURANCE,OWN,3.0,2.15,CREDITS_PAID_TO_DATE,702.95,1.0
95,120024,690.0,STORES,2.0,REPAIRS,2951.0,NONE,1,M,31.0,,1.0,0.0,1.0,7.0,SAVINGS_INSURANCE,RENT,3.0,-128.19,CREDITS_PAID_TO_DATE,509.71,2.0
96,397008,1110.0,NONE,4.0,FURNITURE,2544.0,NONE,0,F,49.0,3.0,1.0,1.0,1.0,5.0,SAVINGS_INSURANCE,OWN,4.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,856.4,2.0
97,1107587,840.0,NONE,3.0,APPLIANCES,2808.0,NONE,0,F,51.0,3.0,1.0,0.0,1.0,9.0,UNKNOWN,OWN,4.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,18491.01,1.0
98,148222,775.0,NONE,4.0,FURNITURE,6740.0,NONE,1,F,39.0,3.0,2.0,1.0,1.0,5.0,SAVINGS_INSURANCE,OWN,4.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,157.04,2.0
99,979111,279.0,NONE,1.0,CAR_NEW,250.0,NONE,1,F,19.0,3.0,1.0,0.0,1.0,0.0,,RENT,2.0,-362.97,CREDITS_PAID_TO_DATE,94.5,1.0
100,576560,744.0,NONE,3.0,FURNITURE,5991.0,NONE,1,F,32.0,2.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,FREE,4.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,1757.8,2.0
101,407798,390.0,NONE,1.0,CAR_NEW,3116.0,NONE,1,F,21.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,RENT,2.0,-295.3,ALL_CREDITS_PAID_BACK,96.69,1.0
102,153023,1140.0,NONE,4.0,FURNITURE,4965.0,NONE,0,F,37.0,3.0,1.0,0.0,1.0,7.0,CAR_OTHER,OWN,3.0,NO_CHECKING,CREDITS_PAID_TO_DATE,981.82,3.0
103,941671,120.0,STORES,2.0,RADIO_TV,2478.0,NONE,1,M,19.0,3.0,1.0,0.0,1.0,0.0,REAL_ESTATE,RENT,3.0,-2347.87,ALL_CREDITS_PAID_BACK,83.16,1.0
104,303713,465.0,NONE,2.0,CAR_NEW,4646.0,NONE,0,M,40.0,3.0,1.0,0.0,1.0,4.0,UNKNOWN,OWN,3.0,120.23,CREDITS_PAID_TO_DATE,443.11,2.0
105,797591,1110.0,NONE,3.0,REPAIRS,7862.0,CO-APPLICANT,0,M,43.0,3.0,2.0,1.0,1.0,7.0,UNKNOWN,FREE,4.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,UNKNOWN,3.0
106,649033,630.0,STORES,3.0,CAR_USED,6850.0,NONE,1,M,32.0,1.0,1.0,1.0,1.0,2.0,UNKNOWN,OWN,4.0,NO_CHECKING,CREDITS_PAID_TO_DATE,8014.6,2.0
107,1013417,390.0,NONE,3.0,CAR_USED,3315.0,NONE,1,F,29.0,3.0,1.0,1.0,1.0,0.0,REAL_ESTATE,OWN,3.0,78.02,CREDITS_PAID_TO_DATE,3.01,2.0
108,836982,496.0,NONE,3.0,CAR_USED,2730.0,NONE,0,M,36.0,2.0,1.0,1.0,1.0,0.0,SAVINGS_INSURANCE,OWN,4.0,NO_CHECKING,CREDITS_PAID_TO_DATE,222.78,2.0
109,419425,780.0,NONE,4.0,FURNITURE,3091.0,NONE,1,M,31.0,2.0,1.0,0.0,1.0,5.0,CAR_OTHER,OWN,4.0,NO_CHECKING,OUTSTANDING_CREDIT,742.35,1.0
110,1077108,930.0,NONE,4.0,BUSINESS,6048.0,NONE,0,M,43.0,2.0,1.0,1.0,1.0,1.0,CAR_OTHER,OWN,4.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,411.63,2.0
111,892758,124.0,NONE,2.0,CAR_NEW,250.0,NONE,1,F,29.0,3.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,OWN,3.0,-257.89,CREDITS_PAID_TO_DATE,206.93,2.0
112,649053,780.0,NONE,3.0,BUSINESS,6202.0,NONE,0,M,37.0,2.0,1.0,0.0,1.0,5.0,SAVINGS_INSURANCE,OWN,4.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,27230.61,2.0
113,1032691,837.0,STORES,4.0,FURNITURE,6459.0,GUARANTOR,1,M,44.0,1.0,1.0,1.0,1.0,2.0,SAVINGS_INSURANCE,OWN,5.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,192.61,1.0
114,456168,870.0,NONE,5.0,BUSINESS,6971.0,NONE,1,M,50.0,2.0,2.0,1.0,1.0,8.0,UNKNOWN,FREE,3.0,NO_CHECKING,PRIOR_PAYMENTS_DELAYED,720.36,2.0
115,246002,651.0,NONE,4.0,RETRAINING,4027.0,NONE,1,M,35.0,3.0,1.0,1.0,1.0,5.0,SAVINGS_INSURANCE,OWN,1.0,-2617.35,PRIOR_PAYMENTS_DELAYED,2062.69,3.0
116,948771,390.0,NONE,3.0,CAR_NEW,3699.0,NONE,1,F,42.0,2.0,1.0,0.0,1.0,0.0,SAVINGS_INSURANCE,OWN,3.0,NO_CHECKING,CREDITS_PAID_TO_DATE,95.64,1.0
117,812003,750.0,NONE,4.0,APPLIANCES,6088.0,NONE,1,F,32.0,3.0,1.0,0.0,1.0,5.0,SAVINGS_INSURANCE,OWN,2.0,0,CREDITS_PAID_TO_DATE,76.29,1.0
118,319835,390.0,NONE,4.0,CAR_USED,6281.0,NONE,1,M,31.0,2.0,1.0,0.0,1.0,8.0,SAVINGS_INSURANCE,FREE,4.0,NO_CHECKING,OUTSTANDING_CREDIT,174.18,1.0
